customer_zip_code_prefix,lat,lng,city_norm,n_pedidos,valor_total,freight_total
20010,-22.902565933548235,-43.17859890530714,rio de janeiro,7,463.76,112.35
20011,-22.904993445903926,-43.17607769647398,rio de janeiro,15,1713.52,347.9
20020,-22.90749454533334,-43.17316912947846,rio de janeiro,9,633.91,143.70000000000002
20021,-22.912369544913428,-43.17350079335496,rio de janeiro,13,1735.9,320.03000000000003
20030,-22.909873939082548,-43.17365036548527,rio de janeiro,21,2617.27,477.14
20031,-22.909572437655488,-43.1777031129869,rio de janeiro,38,5762.54,804.28
20040,-22.90568600024909,-43.177156307060464,rio de janeiro,35,6113.25,738.01
20041,-22.90320075238725,-43.17864558233141,rio de janeiro,2,36.8,24.34
20050,-22.905696239420447,-43.179258208124025,rio de janeiro,8,1481.37,188.04000000000002
20051,-22.90306310094257,-43.18298926875737,rio de janeiro,3,319.5,61.45
20060,-22.90742646003482,-43.22111290328188,rio de janeiro,2,90.0,33.870000000000005
20061,-22.905811724167148,-43.18562902375168,rio de janeiro,1,89.9,8.04
20070,-22.902331574261797,-43.17927884154506,rio de janeiro,6,448.84,100.97
20071,-22.902076954244112,-43.18149783382578,rio de janeiro,14,2068.25,348.86
20080,-22.901209379401656,-43.18495724281751,rio de janeiro,6,13719.21,304.18
20081,-22.897715083300223,-43.18332992060644,rio de janeiro,15,6218.7,445.82
20090,-22.899054123828943,-43.17942063171785,rio de janeiro,20,1936.57,416.61
20091,-22.900151286264816,-43.17827587439508,rio de janeiro,13,1576.52,301.46999999999997
20210,-22.90869650356516,-43.201016378284464,rio de janeiro,7,594.0,175.75
20211,-22.91148503866567,-43.19844247973102,rio de janeiro,19,2948.47,443.15
20220,-22.899829533909223,-43.20080433539784,rio de janeiro,17,1928.8400000000001,431.13
20221,-22.89945802156581,-43.19708452216502,rio de janeiro,5,1750.25,104.03999999999999
20230,-22.91285701073433,-43.18834911843799,rio de janeiro,46,7480.74,1136.41
20231,-22.91259168660638,-43.18629265033459,rio de janeiro,23,2778.56,619.91
20240,-22.917770340408847,-43.18905754157791,rio de janeiro,13,1515.43,249.32999999999998
20241,-22.92200642517056,-43.18565741850953,rio de janeiro,31,4725.8,734.47
20250,-22.919337655136697,-43.21247470976231,rio de janeiro,10,1227.65,328.28999999999996
20251,-22.922200558918448,-43.20015626664134,rio de janeiro,14,2200.07,360.21000000000004
20260,-22.91934258444981,-43.21542322502569,rio de janeiro,50,7159.650000000001,1272.82
20261,-22.92401542829238,-43.213547671608914,rio de janeiro,41,5153.0,968.56
20270,-22.916244564738715,-43.21795033526529,rio de janeiro,42,5971.44,935.02
20271,-22.91566933091613,-43.2252134823305,rio de janeiro,41,4241.45,768.13
20510,-22.930347789330725,-43.24275226487902,rio de janeiro,42,6737.05,1036.31
20511,-22.9284131316606,-43.240538180114825,rio de janeiro,43,5607.63,950.36
20520,-22.926258825257275,-43.231846424609145,rio de janeiro,64,8229.2,1601.7
20521,-22.927918848210943,-43.23197212177495,rio de janeiro,42,7425.79,954.01
20530,-22.93768625306417,-43.24886943417944,rio de janeiro,32,4483.42,763.49
20531,-22.958246852875916,-43.27033293203977,rio de janeiro,8,3652.34,170.89
20535,-22.877802617547648,-43.27309285397244,rio de janeiro,4,314.96,79.53
20540,-22.92255591041081,-43.243901231317686,rio de janeiro,73,13210.62,1656.67
20541,-22.92275898098941,-43.246104027508025,rio de janeiro,72,6773.82,1616.8799999999999
20550,-22.91679214318689,-43.2315503991291,rio de janeiro,71,7851.62,1458.85
20551,-22.91439065092508,-43.24569874883489,rio de janeiro,52,7163.55,1358.26
20560,-22.91863600041784,-43.25724486396328,rio de janeiro,46,5146.81,931.39
20561,-22.923671061855,-43.27951061325535,rio de janeiro,28,3756.96,666.58
20710,-22.90830858763459,-43.2764243094503,rio de janeiro,10,1866.0700000000002,226.34
20715,-22.91224198054703,-43.26872667336991,rio de janeiro,6,514.7,108.62
20720,-22.906575946931888,-43.28819167590577,rio de janeiro,50,6868.12,1383.99
20725,-22.906412217480728,-43.28249517700716,rio de janeiro,9,1895.19,166.37
20730,-22.902290913852568,-43.29839517326879,rio de janeiro,13,1534.01,228.23000000000002
20735,-22.900247004009792,-43.28620954651436,rio de janeiro,36,3917.4,779.96
20740,-22.89620288125079,-43.31266061354411,rio de janeiro,11,980.23,257.93
20745,-22.903600471965063,-43.306901589519335,rio de janeiro,18,2203.75,413.93
20750,-22.87518071840644,-43.30082797736797,rio de janeiro,5,983.78,166.89000000000001
20751,-22.883894678436565,-43.30538425605098,rio de janeiro,13,1523.38,258.6
20755,-22.888719129958837,-43.29710870135924,rio de janeiro,8,500.8,141.18
20756,-22.889303208418365,-43.30454037225461,rio de janeiro,10,858.62,236.26
20760,-22.879177245162506,-43.28592690942743,rio de janeiro,4,259.89,63.089999999999996
20761,-22.870098149013963,-43.2972179170696,rio de janeiro,1,74.99,17.16
20765,-22.87067512100277,-43.28612468627153,rio de janeiro,8,1218.54,396.61
20766,-22.865673065092224,-43.28931782004312,rio de janeiro,5,537.49,108.56
20770,-22.89263110411781,-43.28601357326318,rio de janeiro,12,1088.22,224.28
20771,-22.88654522617883,-43.28157899070825,rio de janeiro,31,5914.63,721.0
20775,-22.894787607705087,-43.27754555337602,rio de janeiro,23,2874.77,411.74
20780,-22.8964631877728,-43.27217170225893,rio de janeiro,32,4036.23,684.92
20785,-22.88659325431333,-43.26783420069855,rio de janeiro,16,3937.13,373.56
20910,-22.89952439510988,-43.23052438041678,rio de janeiro,11,1550.76,256.02
20911,-22.89314885311464,-43.242201014642525,rio de janeiro,8,552.91,168.74
20920,-22.89524485967227,-43.231902550437,rio de janeiro,8,651.55,204.59
20921,-22.893703236582244,-43.23151762119004,rio de janeiro,19,1619.8400000000001,680.14
20930,-22.889979653251217,-43.22883289161473,rio de janeiro,3,371.88,85.7
20931,-22.880476502680093,-43.21772315263865,rio de janeiro,11,1466.49,213.49
20932,-22.85332248950828,-43.397360098269154,rio de janeiro,1,140.0,15.73
20940,-22.90178148194564,-43.21920005325752,rio de janeiro,18,1491.19,333.78
20941,-22.90503857930972,-43.218289836880224,rio de janeiro,15,3056.7000000000003,433.38
20943,-22.907619844963776,-43.23590445490212,rio de janeiro,3,249.79000000000002,102.63
20950,-22.90399569141674,-43.25558609559154,rio de janeiro,34,2990.58,782.29
20960,-22.899105988671952,-43.24932163781583,rio de janeiro,6,548.07,125.38
20961,-22.89892108854126,-43.26048783057711,rio de janeiro,3,432.6,49.49
20970,-22.89490962921127,-43.29895518595955,rio de janeiro,4,454.88,67.89
20972,-22.908149571852817,-43.26020630971305,rio de janeiro,1,32.9,17.6
20973,-22.89480299365888,-43.30460678807501,rio de janeiro,3,635.86,174.25
20975,-22.89442355697212,-43.251622708261415,rio de janeiro,3,468.89,66.58
21010,-22.82383918425472,-43.3063018523626,rio de janeiro,7,766.58,146.57
21011,-22.827727546600816,-43.2864223207302,rio de janeiro,16,1599.55,367.77
21012,-22.835042850775064,-43.31263647240438,rio de janeiro,7,1389.79,117.19
21020,-22.835828487618876,-43.27614378416555,rio de janeiro,33,5932.2699999999995,761.39
21021,-22.84207289300327,-43.265065434319375,rio de janeiro,25,3897.81,520.55
21030,-22.850002554499312,-43.263354020176415,rio de janeiro,3,1057.95,259.59
21031,-22.84825657231105,-43.25613344368642,rio de janeiro,17,3068.82,474.82
21032,-22.860396134014028,-43.25569271559795,rio de janeiro,9,819.96,183.85
21040,-22.858267172627272,-43.25269222978843,rio de janeiro,9,1248.3899999999999,163.46
21041,-22.87144109880102,-43.258727578503766,rio de janeiro,10,958.38,174.53
21042,-22.86486541105725,-43.24870050352791,rio de janeiro,4,743.26,89.85999999999999
21043,-22.88658041606038,-43.2773189390998,rio de janeiro,1,49.9,14.1
21044,-22.857706333465654,-43.267186202026345,rio de janeiro,4,464.88,86.12
21046,-22.87178460618622,-43.25004020994305,rio de janeiro,4,357.99,68.08
21050,-22.87598170475497,-43.26005615466438,rio de janeiro,17,2979.16,584.7
21051,-22.874222414375385,-43.26728790044959,rio de janeiro,5,652.79,131.29000000000002
21060,-22.857331891254034,-43.26363956816405,rio de janeiro,17,2083.33,403.18
21061,-22.866391297064204,-43.27158801093624,rio de janeiro,14,1816.17,305.29
21070,-22.843914411682647,-43.283779066776354,rio de janeiro,9,609.38,219.72
21071,-22.860726267312923,-43.28764650581979,rio de janeiro,4,1413.98,172.92
