geolocation_zip_code_prefix,lat,lng,city,n_records
20010,-22.902565933548235,-43.17859890530714,rio de janeiro,93
20011,-22.904993445903926,-43.17607769647398,rio de janeiro,139
20020,-22.90749454533334,-43.17316912947846,rio de janeiro,112
20021,-22.912369544913428,-43.17350079335496,rio de janeiro,176
20030,-22.909873939082548,-43.173650365485265,rio de janeiro,164
20031,-22.909572437655488,-43.177703112986904,rio de janeiro,387
20040,-22.905686000249094,-43.177156307060464,rio de janeiro,309
20041,-22.90320075238725,-43.17864558233141,rio de janeiro,30
20050,-22.905696239420447,-43.179258208124025,rio de janeiro,85
20051,-22.903063100942575,-43.18298926875737,rio de janeiro,40
20056,-22.9137797149576,-43.250752195106536,rio de janeiro,1
20060,-22.90742646003482,-43.22111290328188,rio de janeiro,27
20061,-22.905811724167148,-43.18562902375168,rio de janeiro,33
20070,-22.902331574261794,-43.17927884154506,rio de janeiro,77
20071,-22.902076954244112,-43.18149783382578,rio de janeiro,124
20080,-22.901209379401656,-43.18495724281751,rio de janeiro,68
20081,-22.897715083300223,-43.18332992060644,rio de janeiro,108
20090,-22.899054123828943,-43.17942063171785,rio de janeiro,152
20091,-22.900151286264816,-43.17827587439508,rio de janeiro,99
20203,-22.795288930066864,-43.34061053055184,rio de janeiro,1
20210,-22.908696503565157,-43.201016378284464,rio de janeiro,62
20211,-22.91148503866567,-43.19844247973102,rio de janeiro,181
20220,-22.899829533909223,-43.20080433539784,rio de janeiro,160
20221,-22.899458021565806,-43.19708452216502,rio de janeiro,74
20230,-22.91285701073433,-43.18834911843799,rio de janeiro,380
20231,-22.91259168660638,-43.18629265033459,rio de janeiro,267
20240,-22.917770340408847,-43.18905754157791,rio de janeiro,133
20241,-22.922006425170558,-43.18565741850953,rio de janeiro,311
20250,-22.919337655136697,-43.21247470976231,rio de janeiro,196
20251,-22.922200558918448,-43.20015626664134,rio de janeiro,184
20260,-22.919342584449815,-43.21542322502569,rio de janeiro,427
20261,-22.92401542829238,-43.213547671608914,rio de janeiro,414
